Typ,Liga,Spiel,Tipp,Anstoß,Modell-%,BestOdds,Edge-%,Kelly-%,λ-Heim,λ-Gast
Fußball,2. Bundesliga,1. FC Magdeburg – Karlsruher SC,Karlsruher SC,2026-03-01T12:30:00Z,30.5,5.10,55.4,5.0,2.22,1.73
Fußball,2. Bundesliga,Hertha Berlin – 1. FC Nürnberg,1. FC Nürnberg,2026-03-01T12:30:00Z,32.3,3.65,17.8,5.0,1.61,1.35
Fußball,2. Bundesliga,Eintracht Braunschweig – SC Preußen Münster,SC Preußen Münster,2026-03-01T12:30:00Z,41.6,2.86,19.0,5.0,1.09,1.31
Fußball,2. Bundesliga,Elversberg – 1. FC Magdeburg,Elversberg,2026-03-06T17:30:00Z,62.0,1.96,21.5,5.0,2.27,1.17
Fußball,2. Bundesliga,FC Schalke 04 – Arminia Bielefeld,Arminia Bielefeld,2026-03-06T17:30:00Z,33.6,4.00,34.3,5.0,1.53,1.35
Fußball,2. Bundesliga,1. FC Nürnberg – Fortuna Düsseldorf,1. FC Nürnberg,2026-03-07T12:00:00Z,47.4,2.30,9.0,5.0,1.76,1.34
Fußball,2. Bundesliga,SC Paderborn – Eintracht Braunschweig,SC Paderborn,2026-03-07T12:00:00Z,67.1,1.64,10.1,5.0,2.18,0.87
Fußball,2. Bundesliga,SV Darmstadt 98 – Holstein Kiel,SV Darmstadt 98,2026-03-07T12:00:00Z,55.1,1.95,7.5,5.0,1.83,1.07
Fußball,2. Bundesliga,VfL Bochum – 1. FC Kaiserslautern,1. FC Kaiserslautern,2026-03-07T19:30:00Z,31.8,3.37,7.1,3.0,1.52,1.27
Fußball,3. Liga,MSV Duisburg – TSV Havelse,MSV Duisburg,2026-03-01T15:30:00Z,71.4,1.52,8.6,5.0,2.72,1.10
Fußball,3. Liga,Schweinfurt – 1. FC Saarbrücken,1. FC Saarbrücken,2026-03-01T18:30:00Z,66.4,1.65,9.6,5.0,0.80,2.05
Fußball,3. Liga,VfB Stuttgart II – FC Energie Cottbus,FC Energie Cottbus,2026-03-03T18:00:00Z,44.7,2.58,15.2,5.0,1.38,1.68
Fußball,3. Liga,VfL Osnabrück – FC Viktoria Köln 1904,Unentschieden,2026-03-03T18:00:00Z,27.2,4.00,8.9,3.0,1.30,1.16
Fußball,3. Liga,VfL Osnabrück – FC Viktoria Köln 1904,FC Viktoria Köln 1904,2026-03-03T18:00:00Z,33.1,4.10,35.7,5.0,1.30,1.16
Fußball,3. Liga,SC Verl – Jahn Regensburg,SC Verl,2026-03-03T18:00:00Z,60.2,1.80,8.4,5.0,2.10,1.10
Fußball,3. Liga,SSV Ulm 1846 – TSG Hoffenheim II,TSG Hoffenheim II,2026-03-03T18:00:00Z,49.8,2.70,34.4,5.0,1.71,2.22
Fußball,3. Liga,1. FC Saarbrücken – Wehen Wiesbaden,Wehen Wiesbaden,2026-03-04T18:00:00Z,31.7,3.65,15.7,5.0,1.49,1.24
Fußball,3. Liga,Alemannia Aachen – Schweinfurt,Alemannia Aachen,2026-03-04T18:00:00Z,72.3,1.60,15.6,5.0,2.26,0.72
Fußball,3. Liga,TSV Havelse – Hansa Rostock,TSV Havelse,2026-03-04T18:00:00Z,20.9,6.20,29.8,5.0,1.15,2.04
Fußball,3. Liga,Rot-Weiss Essen – Waldhof Mannheim,Waldhof Mannheim,2026-03-04T18:00:00Z,28.5,4.00,13.9,4.6,1.69,1.26
